0	44400	62300	20340
1	44400	62700	20341
2	44400	63100	20342
3	44400	63500	20343
4	44300	64400	20344
5	44300	64800	20345
6	44300	65200	20346
7	44300	65600	20347
8	43000	60700	9001
9	40300	58600	9002
10	38300	69300	9003
11	31500	56000	9005
12	41700	67100	9006
13	39300	69200	20016
14	39400	70200	20091
15	71100	23400	9009
16	73200	39000	9009
17	77200	47200	9009
18	76300	80900	9009
19	77300	90500	9009
20	42800	48000	9009
21	38600	84900	9009
22	81900	31500	9009
23	39600	73500	20349
24	34000	74700	20008
25	45400	53000	20023
26	34300	56000	20002
27	37800	57700	20003
28	29200	71800	20005
29	33600	77000	20006
30	42500	71600	20011
31	46500	61200	20018
32	13700	12600	10005
33	12500	111800	20009
34	43200	68500	9012
35	38300	64000	11004
36	36700	61700	11005
37	32300	61700	20041
38	28600	63900	20355
39	46800	71400	20354
40	77100	7800	20358
41	11400	96000	20357
42	28500	28500	20084
43	44700	92800	20086
44	45600	93600	20087
45	30000	86700	20090
46	38400	56700	20094
47	32100	73500	20001
