0	62200	55600	20300
1	62500	55500	20301
2	62900	55400	20302
3	63300	55300	20303
4	64400	55100	20304
5	64700	55000	20305
6	65100	54900	20306
7	65400	54800	20307
8	67000	54900	20091
9	59600	55700	9001
10	59600	60500	9002
11	67800	56500	9003
12	67400	60700	9005
13	63300	62200	9006
14	67200	55600	20016
15	35400	32700	9009
16	32500	40500	9009
17	25100	87400	9009
18	19500	93700	9009
19	30400	118600	9009
20	52500	114700	9009
21	59100	116600	9009
22	68000	37900	9009
23	82100	29700	9009
24	73100	65900	9009
25	62300	63000	20008
26	62900	47100	20023
27	71800	57700	20349
28	68700	47500	20002
29	69800	51300	20003
30	59700	51100	20005
31	58200	57800	20006
32	71300	60500	20011
33	69500	65700	20018
34	40500	7300	10001
35	7600	60100	20009
36	55500	62500	9012
37	64700	58200	11000
38	65700	61900	11001
39	65300	50800	20041
40	57300	53100	20355
41	60500	66300	20354
42	6000	111800	20358
43	58200	34700	20357
44	89600	61000	20084
45	54500	39700	20086
46	54500	41200	20087
47	57800	47000	20090
48	65600	64600	20094
49	64000	66300	20001
