0	62300	59400	20320
1	62700	59400	20321
2	63100	59500	20322
3	63500	59500	20323
4	64500	59500	20324
5	64900	59500	20325
6	65300	59500	20326
7	65700	59500	20327
8	67600	66200	9001
9	67600	61700	9002
10	59000	68900	9003
11	60900	59600	9005
12	58800	63300	9006
13	59400	69200	20016
14	59000	70700	20091
15	67500	53900	9009
16	74200	87900	9009
17	20600	55200	9009
18	21800	67900	9009
19	22100	86500	9009
20	23100	97600	9009
21	23400	107700	9009
22	54900	61000	20349
23	58100	62000	20008
24	69200	57700	20023
25	55400	59700	20002
26	55300	66300	20003
27	70200	68600	20005
28	71700	63300	20006
29	65500	55300	20011
30	67400	59000	20018
31	87600	112700	10003
32	90800	8700	20009
33	51900	51200	9012
34	63300	64000	11002
35	62300	61700	11003
36	65900	77200	20041
37	77200	68200	20355
38	57100	55800	20354
39	25000	110400	20358
40	61400	116700	20357
41	89800	79700	20084
42	86400	82300	20086
43	85400	82700	20087
44	53800	78400	20090
45	65700	68600	20094
46	61500	56400	20001
